David Mota Veiga Teixeira do Carmo,David Carmo,Nott'm Forest,
Felipe Rodrigues da Silva,Morato,Nott'm Forest,Morato
Igor Jesus Maciel da Cruz,Igor Jesus,Nott'm Forest,
Jair Paula da Cunha Filho,Jair Cunha,Nott'm Forest,
João Pedro Ferreira da Silva,Jota,Nott'm Forest,Jota Silva
Murillo Costa dos Santos,Murillo,Nott'm Forest,Murillo
Bryan Gil Salvatierra,Bryan,Spurs,Bryan Gil
Dominic Solanke-Mitchell,Solanke,Spurs,Dominic Solanke
João Maria Lobo Alves Palhares Costa Palhinha Gonçalves,J.Palhinha,Spurs,João Palhinha
Pedro Porro Sauceda,Pedro Porro,Spurs,Pedro Porro
Richarlison de Andrade,Richarlison,Spurs,Richarlison
Daniel Ballard,Ballard,Sunderland,Dominic Ballard
Edson Álvarez Velázquez,Álvarez,West Ham,Edson Álvarez
Emerson Palmieri dos Santos,Emerson,West Ham,Emerson Palmieri
Lucas Tolentino Coelho de Lima,L.Paquetá,West Ham,Lucas Paquetá
Luis Guilherme Lira dos Santos,L.Guilherme,West Ham,Luis Guilherme
Maximilian Kilman,Kilman,West Ham,Max Kilman
Ollie Scarles,Scarles,West Ham,Oliver Scarles
André Trindade da Costa Neto,André,Wolves,André
Bastien Meupiyou Menadjou,Meupiyou,Wolves,
Enso González Medina,Gonzalez,Wolves,Enso Gonzalez
Fábio Soares Silva,Fábio Silva,Wolves,Fábio Silva
Gonçalo Manuel Ganchinho Guedes,Guedes,Wolves,Gonçalo Guedes
Hugo Bueno López,H.Bueno,Wolves,Hugo Bueno
Joe Hodge,Hodge,Wolves,Joseph Hodge
José Malheiro de Sá,José Sá,Wolves,José Sá
João Victor Gomes da Silva,Gomes,Wolves,João Gomes
Pedro Cardoso de Lima,Pedro Lima,Wolves,Pedro Lima
Rodrigo Martins Gomes,R.Gomes,Wolves,Rodrigo Gomes
Santiago Ignacio Bueno,S.Bueno,Wolves,Santiago Bueno
Yerson Mosquera Valdelamar,Mosquera,Wolves,Yerson Mosquera
Ben Gannon-Doak,Gannon-Doak,Bournemouth,Ben Doak
Douglas Luiz Soares de Paulo,Douglas Luiz,Nott'm Forest, Douglas Luiz
player_full,web_name,team_name,player_fbref
Bradley Burrowes,Burrowes,Aston Villa,Bradley Paul Burrowes
Jaden Philogene,Philogene,Ipswich Town,Jaden Philogene Bidace
Junior Kroupi,Kroupi.Jr,Bournemouth,Eli Junior Kroupi
Abdul Fatawu,Fatawu,Ipswich Town,Abdul Fatawu Issahaku
João Pedro Loureiro da Costa,Costinha,Brighton,Costinha
Oli McBurnie,McBurnie,Hull City,Oliver McBurnie
Sam Szmodics,Szmodics,Ipswich Town,Sammie Szmodics
Divine Mukasa,Mukasa,Man City,Divine Mukasa 
Cathal McCarthy,McCarthy,Hull City,Cathal McCarthy
Jay Dasilva,Dasilva,Coventry City,Jay Dasilva
Harvey Davies,Davies,Liverpool, Harvey Davies 
Álvaro Rodríguez,Rodríguez,Bournemouth,Álvaro Rodríguez
Oliver Dovin,Dovin,Coventry City,Oliver Dovin 
Mohamed Belloumi,Belloumi,Hull City,Bachir Belloumi 
George Hemmings,George Hemmings,Aston Villa,George Hemmings 
Marcelino Núñez,Núñez,Ipswich Town,Marcelino Núñez 
Ben Wilson,Wilson,Coventry City,Ben Wilson
Alex Tóth,Tóth.A,Bournemouth,Alex Tóth 
Giovanni Leoni,Leoni,Liverpool,Giovanni Leoni 
Michael Svoboda,Svoboda,Brighton,Michael Svoboda 
Dillon Phillips,Phillips,Hull City,Dillon Phillips 
Josh Eccles,Eccles,Coventry City,Josh Eccles
Tyler Bindon,Bindon,Nott'm Forest,Tyler Bindon
James Rowswell,Rowswell,Spurs,James Rowswell
Luca Netz,Netz,Nott'm Forest,Luca Netz
Matt Grimes,Grimes,Coventry City,Matt Grimes
Hayden Hackney,Hackney,Everton,Hayden Hackney
Nilson Angulo,Angulo,Sunderland,Nilson Angulo
Yéremy Pino Santos,Yeremy,Crystal Palace,Yéremy Pino
Joél Drakes-Thomas,Drakes-Thomas,Crystal Palace,Joél Drakes-Thomas
Thomas Meunier,Meunier,Sunderland,Thomas Meunier
